country	AT	BA	BE	BG	CZ	DK	EE	ES	ES-CT	ES-GA	ES-PV	FR	GB	GR	HR	HU	IS	LV	NL	PL	PT	RS	SE	TR	UA
AT	0.0	0.00317	0.00118	0.00207	0.00148	0.00157	0.00133	0.00186	0.00251	0.0076	0.00356	0.0024	0.00183	0.00146	0.00296	0.00359	0.00233	0.0059	0.00186	0.0038	0.00326	0.00355	0.00167	0.0056	0.00226
BA	0.00317	0.0	0.00242	0.0029	0.00223	0.00203	0.00133	0.00344	0.00392	0.00868	0.00358	0.00257	0.00208	0.00221	0.0018	0.00378	0.00329	0.00433	0.00224	0.00173	0.00428	0.00471	0.00203	0.00589	0.00137
BE	0.00118	0.00242	0.0	0.00158	0.00115	0.00175	0.00063	0.00251	0.00369	0.00746	0.0026	0.00231	0.00244	0.00184	0.00294	0.00402	0.00202	0.00431	0.00126	0.00381	0.00319	0.00499	0.0008	0.00683	0.00117
BG	0.00207	0.0029	0.00158	0.0	0.00162	0.00233	0.00138	0.0027	0.00287	0.00977	0.00244	0.00272	0.00238	0.00209	0.00286	0.00443	0.00232	0.00338	0.00265	0.00316	0.00534	0.00569	0.00213	0.00707	0.00116
CZ	0.00148	0.00223	0.00115	0.00162	0.0	0.0021	0.00053	0.0021	0.00249	0.00647	0.00404	0.00169	0.00188	0.00173	0.00153	0.00238	0.00198	0.00454	0.00264	0.00242	0.00249	0.00397	0.00087	0.00465	0.00136
DK	0.00157	0.00203	0.00175	0.00233	0.0021	0.0	0.00127	0.00233	0.00239	0.00959	0.00375	0.00304	0.0012	0.00118	0.00422	0.00488	0.00403	0.00511	0.00123	0.00402	0.00424	0.00466	0.0013	0.00625	0.00248
EE	0.00133	0.00133	0.00063	0.00138	0.00053	0.00127	0.0	0.00169	0.0027	0.00707	0.00308	0.00144	0.00157	0.00159	0.002	0.00269	0.00218	0.00326	0.0016	0.00257	0.00273	0.00458	0.00057	0.00507	0.00094
ES	0.00186	0.00344	0.00251	0.0027	0.0021	0.00233	0.00169	0.0	0.00147	0.01014	0.0037	0.00227	0.00202	0.00259	0.00366	0.00336	0.00286	0.00536	0.00317	0.00296	0.00352	0.00372	0.00208	0.00392	0.00303
ES-CT	0.00251	0.00392	0.00369	0.00287	0.00249	0.00239	0.0027	0.00147	0.0	0.00977	0.00413	0.00435	0.00159	0.00288	0.00448	0.00528	0.00336	0.00641	0.00347	0.00331	0.00388	0.00389	0.0026	0.00522	0.00363
ES-GA	0.0076	0.00868	0.00746	0.00977	0.00647	0.00959	0.00707	0.01014	0.00977	0.0	0.01026	0.01169	0.00923	0.00928	0.00832	0.00743	0.00955	0.01593	0.00906	0.00817	0.00875	0.0117	0.00655	0.00727	0.00689
ES-PV	0.00356	0.00358	0.0026	0.00244	0.00404	0.00375	0.00308	0.0037	0.00413	0.01026	0.0	0.00474	0.00383	0.00355	0.00533	0.00759	0.00319	0.00646	0.00259	0.00334	0.00531	0.00625	0.00315	0.00707	0.00202
FR	0.0024	0.00257	0.00231	0.00272	0.00169	0.00304	0.00144	0.00227	0.00435	0.01169	0.00474	0.0	0.00243	0.0026	0.00254	0.00321	0.00214	0.00421	0.00338	0.0037	0.00356	0.00488	0.00217	0.00511	0.0028
GB	0.00183	0.00208	0.00244	0.00238	0.00188	0.0012	0.00157	0.00202	0.00159	0.00923	0.00383	0.00243	0.0	0.00195	0.00373	0.00387	0.00207	0.00495	0.00164	0.00305	0.00301	0.00397	0.00155	0.00451	0.00257
