country	AT	BA	BE	BG	CZ	DK	EE	ES	ES-CT	ES-GA	ES-PV	FR	GB	GR	HR	HU	IS	LV	NL	PL	PT	RS	SE	TR	UA
AT	0.0	0.26939	0.15007	0.0781	0.05083	0.11217	0.03436	0.07322	0.16286	0.13068	0.06932	0.0816	0.1825	0.03051	0.04785	0.01997	0.06695	0.09253	0.08559	0.05596	0.049	0.08885	0.122	0.14044	0.08638
BA	0.26939	0.0	0.39477	0.22131	0.22335	0.4388	0.2114	0.256	0.27303	0.45033	0.35464	0.32446	0.33375	0.28266	0.1648	0.25877	0.34783	0.126	0.34392	0.26392	0.37713	0.09425	0.45261	0.26809	0.11068
BE	0.15007	0.39477	0.0	0.1269	0.16852	0.13399	0.18715	0.17676	0.30883	0.24485	0.18149	0.11147	0.11949	0.18178	0.20454	0.17819	0.20854	0.26213	0.05887	0.1089	0.16781	0.2216	0.11112	0.20193	0.21912
BG	0.0781	0.22131	0.1269	0.0	0.04267	0.18507	0.0607	0.14615	0.18911	0.15373	0.12315	0.05996	0.16646	0.10944	0.05323	0.06992	0.13289	0.08557	0.08487	0.03194	0.11761	0.08663	0.15225	0.16187	0.06764
CZ	0.05083	0.22335	0.16852	0.04267	0.0	0.17097	0.02901	0.11333	0.16061	0.10429	0.09764	0.05596	0.17465	0.04538	0.03472	0.02663	0.06227	0.04069	0.09226	0.06115	0.05152	0.07777	0.17425	0.20497	0.06815
DK	0.11217	0.4388	0.13399	0.18507	0.17097	0.0	0.13547	0.19895	0.24024	0.21891	0.14741	0.12333	0.13307	0.16753	0.21966	0.11785	0.19099	0.24229	0.07552	0.13891	0.15883	0.26891	0.04371	0.22245	0.27212
EE	0.03436	0.2114	0.18715	0.0607	0.02901	0.13547	0.0	0.1076	0.13812	0.12866	0.10103	0.081	0.16835	0.04455	0.05961	0.02307	0.08932	0.03632	0.09564	0.06665	0.07257	0.08804	0.14519	0.17554	0.08263
ES	0.07322	0.256	0.17676	0.14615	0.11333	0.19895	0.1076	0.0	0.09086	0.14933	0.0748	0.11854	0.25547	0.0693	0.07843	0.08447	0.10342	0.13918	0.14416	0.10303	0.08844	0.10322	0.22419	0.0747	0.11489
ES-CT	0.16286	0.27303	0.30883	0.18911	0.16061	0.24024	0.13812	0.09086	0.0	0.15056	0.09899	0.13057	0.25133	0.17308	0.14631	0.15571	0.20163	0.15859	0.19496	0.14883	0.16772	0.18978	0.27457	0.09227	0.20392
ES-GA	0.13068	0.45033	0.24485	0.15373	0.10429	0.21891	0.12866	0.14933	0.15056	0.0	0.08386	0.06919	0.28995	0.10139	0.15338	0.11324	0.09921	0.20235	0.1322	0.12958	0.05333	0.26229	0.22679	0.24149	0.24253
ES-PV	0.06932	0.35464	0.18149	0.12315	0.09764	0.14741	0.10103	0.0748	0.09899	0.08386	0.0	0.06753	0.22448	0.09687	0.1075	0.08698	0.13709	0.15443	0.10179	0.10293	0.05657	0.17474	0.17916	0.14756	0.17788
FR	0.0816	0.32446	0.11147	0.05996	0.05596	0.12333	0.081	0.11854	0.13057	0.06919	0.06753	0.0	0.13642	0.09177	0.09023	0.0736	0.12215	0.13327	0.03296	0.03867	0.05327	0.14654	0.1111	0.14166	0.14539
GB	0.1825	0.33375	0.11949	0.16646	0.17465	0.13307	0.16835	0.25547	0.25133	0.28995	0.22448	0.13642	0.0	0.2231	0.21682	0.19013	0.24015	0.21132	0.06714	0.13142	0.2259	0.22179	0.10837	0.21009	0.23176
GR	0.03051	0.28266	0.18178	0.10944	0.04538	0.16753	0.04455	0.0693	0.17308	0.10139	0.09687	0.09177	0.2231	0.0	0.0566	0.0201	0.04386	0.08055	0.10897	0.09034	0.02863	0.09872	0.18969	0.17949	0.10571
HR	0.04785	0.1648	0.20454	0.05323	0.03472	0.21966	0.05961	0.07843	0.14631	0.15338	0.1075	0.09023	0.21682	0.0566	0.0	0.0403	0.08251	0.05505	0.13156	0.05679	0.08694	0.02781	0.21368	0.1281	0.02543
HU	0.01997	0.25877	0.17819	0.06992	0.02663	0.11785	0.02307	0.08447	0.15571	0.11324	0.08698	0.0736	0.19013	0.0201	0.0403	0.0	0.0475	0.06046	0.09173	0.0601	0.04565	0.08515	0.14421	0.16737	0.08116
IS	0.06695	0.34783	0.20854	0.13289	0.06227	0.19099	0.08932	0.10342	0.20163	0.09921	0.13709	0.12215	0.24015	0.04386	0.08251	0.0475	0.0	0.13653	0.13877	0.10239	0.06385	0.15325	0.2034	0.22484	0.13347
LV	0.09253	0.126	0.26213	0.08557	0.04069	0.24229	0.03632	0.13918	0.15859	0.20235	0.15443	0.13327	0.21132	0.08055	0.05505	0.06046	0.13653	0.0	0.16874	0.11684	0.12393	0.04945	0.26107	0.21738	0.06459
NL	0.08559	0.34392	0.05887	0.08487	0.09226	0.07552	0.09564	0.14416	0.19496	0.1322	0.10179	0.03296	0.06714	0.10897	0.13156	0.09173	0.13877	0.16874	0.0	0.05383	0.0907	0.17112	0.05893	0.1545	0.16979
PL	0.05596	0.26392	0.1089	0.03194	0.06115	0.13891	0.06665	0.10303	0.14883	0.12958	0.10293	0.03867	0.13142	0.09034	0.05679	0.0601	0.10239	0.11684	0.05383	0.0	0.09031	0.09133	0.10895	0.09574	0.07708
PT	0.049	0.37713	0.16781	0.11761	0.05152	0.15883	0.07257	0.08844	0.16772	0.05333	0.05657	0.05327	0.2259	0.02863	0.08694	0.04565	0.06385	0.12393	0.0907	0.09031	0.0	0.15241	0.17252	0.20156	0.15691
RS	0.08885	0.09425	0.2216	0.08663	0.07777	0.26891	0.08804	0.10322	0.18978	0.26229	0.17474	0.14654	0.22179	0.09872	0.02781	0.08515	0.15325	0.04945	0.17112	0.09133	0.15241	0.0	0.25592	0.13821	0.01944
SE	0.122	0.45261	0.11112	0.15225	0.17425	0.04371	0.14519	0.22419	0.27457	0.22679	0.17916	0.1111	0.10837	0.18969	0.21368	0.14421	0.2034	0.26107	0.05893	0.10895	0.17252	0.25592	0.0	0.20443	0.25856
TR	0.14044	0.26809	0.20193	0.16187	0.20497	0.22245	0.17554	0.0747	0.09227	0.24149	0.14756	0.14166	0.21009	0.17949	0.1281	0.16737	0.22484	0.21738	0.1545	0.09574	0.20156	0.13821	0.20443	0.0	0.15532
